	TARGET-20-PAUVBS	TARGET-20-PAUVGD	TARGET-20-PAUVXU	TARGET-20-PAUWCF	TARGET-20-PAUXLK	TARGET-20-PAUXNM	TARGET-20-PAUYDT	TARGET-20-PAVAGA	TARGET-20-PAVFYL	TARGET-20-PAVLKB	TARGET-20-PAVLWY	TARGET-20-PAVPKA	TARGET-20-PAVSWX	TARGET-20-PAWCAW	TARGET-20-PAWFZT	TARGET-20-PAWTWW	TARGET-20-PAWXZJ	TARGET-20-PAWYTW	TARGET-20-PAXGVH	TARGET-20-PAXJVE
AC008808.2	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC008810.1	10	64	15	25	29	25	28	4	58	28	24	74	29	51	32	47	56	10	88	33
AC008814.1	5	3	4	10	17	0	10	1	0	16	0	3	0	3	48	2	0	9	0	2
AC008817.1	1	0	1	0	0	0	1	1	1	0	3	1	8	1	1	0	4	1	0	0
AC008825.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC008825.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC008833.1	2	35	63	39	27	0	38	31	3	9	29	57	3	176	27	20	5	2	0	8
AC008834.1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
AC008837.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC008837.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC008840.1	42	170	379	73	233	88	33	132	242	95	67	176	268	187	194	23	258	265	385	155
AC008850.1	64	88	34	40	53	9	46	0	37	31	4	74	58	19	43	22	30	21	34	36
AC008852.1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC008868.1	15	70	26	3	17	3	4	3	1	10	1	10	2	20	2	4	20	11	3	7
AC008869.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC008870.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC008870.2	105	110	63	102	147	149	84	37	135	137	50	170	142	108	175	61	121	63	250	129
AC008870.3	55	194	222	191	47	104	603	59	43	66	427	64	205	89	75	185	149	188	109	98
AC008870.4	18	46	40	46	55	18	34	23	21	6	34	50	60	140	28	21	56	33	55	23
AC008870.5	1	0	0	1	0	16	0	0	1	0	1	0	0	0	1	0	0	0	0	0
AC008871.1	2	20	9	9	18	24	15	4	12	3	3	1	6	26	0	6	3	3	20	12
AC008873.1	23	29	15	42	14	37	18	9	54	17	5	23	16	13	54	24	29	37	111	44
AC008875.1	224	34	80	18	23	7	42	9	27	70	37	13	20	51	22	8	22	10	56	8
AC008875.2	1271	476	311	143	151	13	1206	126	112	322	285	327	265	404	104	250	212	105	203	149
AC008875.3	4903	1198	1492	398	383	193	3867	1599	735	1585	5554	1128	1368	1426	432	969	1595	385	507	497
AC008877.1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
AC008878.1	4	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
AC008878.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC008878.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC008878.4	132	55	248	149	18	129	110	45	63	56	146	66	199	195	125	18	16	6	189	10
AC008883.1	3	4	7	11	10	3	1	21	3	6	3	2	3	9	1	1	2	5	0	5
AC008883.2	1	6	6	5	5	0	2	18	2	4	0	1	1	9	0	1	1	4	0	2
AC008883.3	16	9	33	30	32	0	15	67	10	18	3	10	20	26	4	6	11	10	8	18
AC008885.1	0	1	1	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0
AC008885.2	0	1	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0
AC008892.1	57	31	109	178	21	56	58	40	175	123	144	309	97	27	143	38	156	28	58	146
AC008894.1	79	25	20	9	7	38	8	0	45	46	26	13	25	9	27	12	22	5	111	22
AC008894.2	5595	5085	7134	4101	2943	2290	3737	1746	2266	2578	5420	2588	4277	4830	1953	2329	3521	1320	3014	2635
AC008894.3	564	546	910	439	659	570	670	2270	734	893	1033	342	1863	517	759	316	1304	597	3139	736
AC008895.1	200	88	255	150	221	68	99	89	74	36	60	92	113	287	142	21	63	144	233	41
AC008897.1	85	110	125	69	91	100	136	35	154	156	63	74	66	112	159	55	133	80	80	99
AC008897.2	3	0	4	5	2	9	4	4	3	16	89	11	2	0	1	26	11	3	6	4
AC008897.3	44	39	17	13	5	82	37	6	56	63	57	34	42	20	25	17	23	10	48	25
AC008906.1	387	807	700	1122	860	395	831	351	581	744	545	1133	1059	985	789	516	932	701	497	686
AC008906.2	243	534	442	616	481	206	422	361	300	536	386	592	622	553	397	276	665	585	302	399
AC008914.1	479	189	283	1449	234	2244	492	337	1613	1192	1066	2366	2066	303	792	368	533	658	458	709
AC008915.1	157	29	41	17	29	109	20	13	21	30	10	20	31	44	19	9	38	20	27	14
AC008915.2	572	191	274	103	175	526	236	1055	110	131	171	105	181	284	131	42	202	281	156	103
AC008937.1	10	47	51	67	21	33	55	12	53	78	29	17	15	91	81	9	85	8	41	59
AC008937.2	744	681	831	973	395	368	589	434	632	516	723	1279	585	568	1011	469	725	1230	192	585
AC008937.3	159	165	92	322	137	401	122	85	188	157	120	232	434	208	178	118	224	115	249	248
AC008938.1	7	3	3	3	6	4	6	4	8	1	0	1	3	2	6	0	2	4	2	1
AC008940.1	10	0	3	23	3	0	3	2	1	4	7	6	38	3	0	5	1	3	0	1
AC008945.1	17	88	44	20	18	6	217	167	56	2	9	17	279	538	1	16	6	34	148	3
AC008945.2	45	16	53	8	4	1	7	4	6	13	9	8	22	6	0	4	2	10	7	2
AC008946.1	2	12	10	7	4	3	14	17	11	4	5	15	12	24	6	3	9	6	8	0
AC008948.1	0	0	0	1	1	0	0	8	0	0	2	2	0	1	100	2	0	0	0	0
AC008957.1	36	366	199	441	336	52	468	119	10	82	180	188	119	424	63	46	96	118	9	183
AC008957.2	1	31	18	121	9	17	99	3	14	17	3	2	46	44	53	5	75	40	0	43
AC008957.3	6	68	48	215	25	19	192	46	21	64	4	7	60	162	82	9	121	56	3	65
AC008958.1	1	24	14	22	6	0	18	0	44	2	5	11	27	10	2	1	23	6	18	18
AC008962.1	1	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1
AC008964.1	34	10	31	70	16	3	17	22	45	17	98	380	47	48	7	30	27	34	12	20
AC008966.1	1	24	32	45	41	0	16	7	9	2	13	51	9	3	4	5	23	1	12	0
AC008966.2	4	4	3	2	1	0	0	0	11	4	0	10	12	0	2	2	2	5	26	0
AC008966.3	1	2	0	1	0	3	3	8	2	0	1	0	4	0	0	0	0	9	39	1
AC008967.1	2	0	0	0	0	0	0	0	1	2	0	0	2	0	3	3	0	0	1	0
AC008969.1	505	250	264	196	308	108	230	303	331	175	242	397	553	311	95	157	250	220	635	223
AC008969.2	8	1	1	0	1	0	0	0	1	1	0	0	2	1	2	0	0	0	5	0
AC008972.1	0	0	0	0	3	0	2	0	2	0	3	0	1	0	1	0	2	0	2	1
AC008972.2	4	0	4	4	0	0	8	5	11	1	15	2	15	2	4	3	9	1	4	8
AC008982.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC008982.2	398	277	547	408	196	361	425	208	383	277	331	674	506	314	310	384	620	172	240	346
AC008985.1	375	175	300	131	81	98	202	91	189	96	128	162	205	124	185	185	120	145	131	179
AC008991.1	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
AC008992.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC008993.1	4	18	8	7	1	1	7	4	6	1	11	4	31	6	11	2	1	3	8	9
AC008993.2	1	1	0	2	0	0	0	0	0	0	1	1	2	0	1	0	0	0	2	0
AC008993.3	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	1	0
AC009005.1	16	81	64	162	42	67	154	60	18	117	345	37	80	93	70	54	75	68	20	26
AC009014.1	26	7	6	14	16	22	12	4	22	5	3	11	19	8	10	6	14	4	43	13
AC009014.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC009014.3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
AC009014.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC009019.1	13	37	18	27	21	7	23	8	8	12	28	80	52	77	8	8	26	11	15	17
AC009019.2	6	11	4	9	10	0	2	6	4	4	9	5	8	12	4	6	2	9	4	2
AC009021.1	2	2	1	0	1	1	0	1	1	0	1	0	1	1	0	0	1	0	0	0
AC009021.2	5	0	1	1	2	11	0	5	4	0	2	3	6	1	0	0	0	2	1	1
AC009022.1	6	2	11	5	1	4	0	1	6	3	7	3	3	3	4	0	2	8	4	1
AC009027.1	2	5	23	23	2	0	13	5	1	0	6	22	8	6	2	5	25	3	1	10
AC009032.1	57	140	40	366	186	531	92	83	170	402	71	96	147	80	149	247	97	94	89	278
AC009033.1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1
AC009034.1	160	442	205	232	152	63	189	30	61	163	121	414	150	529	59	38	263	72	164	156
AC009035.1	1	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	3	1	1	1
AC009039.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC009039.2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
AC009041.1	9	2	1	1	2	0	3	6	1	6	5	29	13	0	1	4	2	4	0	2
AC009041.2	1	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	2	1	0	0
AC009041.3	154	20	22	56	19	20	22	37	29	14	34	68	74	37	17	26	20	9	26	9
AC009044.1	6	27	71	45	29	16	33	10	16	1	5	16	9	111	3	7	28	18	14	13
AC009052.1	0	0	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC009053.1	1003	877	1648	942	1477	682	1233	5332	937	385	1188	1037	1293	1391	435	524	1350	2011	1113	732
AC009053.2	174	119	292	127	278	280	228	760	207	57	409	256	347	221	139	90	266	265	177	142
AC009053.3	15	12	17	2	12	16	9	7	6	7	32	40	12	13	2	3	28	15	9	9
AC009053.4	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0
AC009054.1	14	31	36	37	41	8	32	26	17	16	3	15	18	55	11	11	12	27	37	14
AC009054.2	22	51	74	80	53	6	51	31	47	22	17	34	56	80	30	26	62	47	56	56
AC009055.1	7	0	11	2	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
AC009055.2	0	0	8	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0
AC009060.1	1417	2330	2173	1774	1769	1187	1861	1506	1434	705	1526	1598	2872	2655	518	734	2690	1150	1637	1255
AC009060.2	6	2	2	0	0	0	1	1	1	0	0	0	0	1	0	0	0	0	1	0
AC009061.1	34	3	1	1	0	3	6	2	16	2	15	4	11	0	7	2	2	3	2	2
AC009061.2	74	213	460	314	308	50	81	190	57	139	371	220	80	451	74	101	172	212	131	102
AC009063.1	1	1	7	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
AC009063.2	12	7	16	6	2	0	16	3	1	0	3	1	7	2	0	2	5	3	0	4
AC009063.3	2	0	1	1	2	0	4	4	1	1	0	0	1	0	3	1	0	0	0	2
AC009063.4	0	0	0	0	0	0	0	2	1	0	0	1	0	2	0	1	0	1	0	0
AC009065.1	109	30	40	38	28	37	77	145	42	27	117	35	74	42	24	20	48	22	65	12
AC009065.2	197	231	289	163	228	153	341	644	137	127	396	116	266	294	142	45	338	227	261	198
AC009065.3	42	42	44	45	38	72	93	84	36	33	68	17	49	58	37	15	53	49	68	13
AC009065.4	13	32	95	26	28	0	43	86	24	13	41	28	27	47	20	9	34	7	13	12
AC009065.5	16	12	20	14	26	25	29	14	20	8	32	17	25	19	11	9	19	29	31	9
AC009065.6	180	327	342	170	196	149	447	675	135	236	385	152	467	331	130	67	357	326	302	202
AC009065.7	63	137	324	179	54	48	280	132	82	80	548	306	106	133	78	112	161	76	212	115
AC009065.8	50	25	43	30	35	44	69	28	18	25	25	45	53	78	20	22	37	32	33	22
AC009065.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC009070.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC009075.1	5	12	3	14	17	10	15	37	2	9	12	1	10	42	7	7	9	24	14	11
AC009075.2	2	9	6	6	5	0	14	0	2	6	3	2	12	17	4	4	3	6	13	4
AC009078.1	1	2	0	1	2	0	0	0	4	1	0	0	18	1	0	0	0	0	0	0
AC009078.2	1	1	0	0	0	1	1	2	1	0	1	0	2	0	0	0	0	2	1	0
AC009078.3	0	3	3	1	8	11	15	15	19	0	15	3	1	1	1	2	2	3	10	3
AC009081.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC009081.2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
AC009084.1	19	0	2	1	0	0	1	0	1	4	2	2	4	0	3	1	2	0	3	0
AC009084.2	53	26	126	268	37	8	60	4	29	16	107	224	49	3	24	38	42	89	6	46
AC009084.3	52	91	85	76	42	1	103	31	44	35	124	67	190	90	33	36	88	38	55	58
AC009086.1	1	1	2	2	2	5	0	0	2	1	0	0	2	4	1	0	0	0	3	0
AC009086.2	162	127	218	170	125	223	121	149	186	182	238	114	297	183	179	71	258	172	180	290
AC009087.1	31	51	31	56	45	45	33	5	61	41	70	59	74	90	11	37	67	7	50	23
AC009088.1	145	101	279	162	30	428	160	32	398	403	299	325	191	145	160	153	251	25	172	187
AC009088.2	936	2314	1614	1917	1496	2272	1644	1895	1509	1534	2595	1742	1675	1619	1113	1013	1494	2169	1787	1735
AC009088.3	9	19	7	9	6	14	13	16	7	19	37	16	23	7	14	15	7	7	2	6
AC009088.4	0	0	1	0	0	1	0	0	1	1	2	0	2	0	2	0	0	0	0	1
AC009090.1	48	25	13	10	32	19	25	8	16	12	3	49	49	18	22	15	11	12	28	25
AC009090.2	15	8	6	18	9	44	14	19	79	19	80	35	18	7	22	13	15	11	4	11
AC009090.3	191	90	85	73	78	18	90	36	59	33	96	142	167	77	79	45	69	45	85	58
AC009090.4	50	514	86	292	137	162	419	145	217	501	989	116	159	630	485	359	438	98	277	338
AC009090.5	35	321	57	185	92	113	281	93	142	326	628	79	107	446	345	256	279	56	185	212
AC009090.6	579	859	822	971	925	294	860	519	514	607	457	1406	912	1287	916	798	689	917	603	575
AC009093.1	683	150	513	240	221	38	472	320	68	69	245	126	254	267	40	152	201	236	86	176
AC009093.10	161	44	82	45	55	14	91	264	27	27	121	47	49	70	29	30	69	166	34	43
AC009093.11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC009093.2	415	102	315	172	146	24	272	116	41	37	125	75	127	156	23	98	110	87	41	96
AC009093.3	612	354	431	558	530	236	340	968	185	398	420	199	360	261	268	491	319	772	336	539
AC009093.4	83	47	84	50	53	0	98	88	18	43	86	21	60	65	29	20	24	47	23	45
AC009093.5	75	22	57	35	17	0	61	12	9	6	26	14	19	20	9	26	35	22	12	35
AC009093.6	63	29	36	41	48	9	40	50	8	50	95	23	52	41	30	19	22	31	19	27
AC009093.7	294	56	249	105	90	10	143	61	26	23	60	51	69	123	27	71	101	71	26	78
AC009093.8	170	49	111	65	61	19	116	95	25	54	52	18	47	53	25	32	59	60	31	56
AC009093.9	10	7	23	17	25	5	8	14	5	11	10	11	10	10	7	19	10	25	10	11
AC009094.1	0	0	1	0	1	0	0	4	1	1	0	1	5	0	0	3	0	0	0	0
AC009095.1	254	144	146	129	128	159	153	66	139	84	137	95	149	124	69	112	118	60	172	87
AC009097.1	42	22	38	31	11	14	58	64	58	22	92	61	194	32	24	43	48	33	82	37
AC009097.2	0	0	1	0	0	0	0	0	0	0	3	0	0	0	3	1	0	0	1	0
AC009097.3	5	4	2	4	2	20	2	0	8	22	5	3	6	2	0	1	5	2	11	1
AC009097.4	12	8	8	3	2	7	11	19	22	11	47	20	52	4	7	9	9	11	19	13
AC009101.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC009102.1	1	1	0	0	0	0	0	0	0	0	0	0	4	0	0	0	1	0	1	2
AC009102.2	12	1	1	1	0	0	3	1	16	7	9	3	2	0	0	4	3	2	7	1
AC009102.3	1	0	1	1	0	0	1	0	1	0	1	1	1	0	0	1	1	0	2	0
AC009102.4	0	0	0	1	0	0	1	0	0	0	3	1	2	0	0	6	1	2	0	1
AC009107.1	18	27	17	14	12	3	19	1	24	8	8	7	31	15	17	12	25	19	33	25
AC009107.2	1579	2956	1837	2626	1893	2052	1878	201	2236	1389	1442	2153	5514	2922	1882	1167	3005	870	2673	1746
AC009108.1	6	3	10	14	6	1	2	11	3	2	18	4	5	8	4	4	3	5	6	2
AC009108.2	0	0	0	1	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC009108.3	4	5	12	5	8	1	12	35	4	3	20	15	11	6	6	4	9	5	7	0
AC009108.4	0	0	1	21	17	59	0	0	0	3	0	0	0	0	15	0	0	0	0	13
AC009110.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC009113.1	32	91	98	128	114	63	101	75	25	65	160	195	80	233	52	73	85	33	40	29
AC009113.2	44	28	39	55	31	45	40	40	39	22	73	76	130	90	13	44	28	19	56	16
AC009117.1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC009117.2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
AC009118.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
AC009118.2	14	36	98	42	32	0	71	16	19	4	77	30	84	72	10	21	34	12	38	12
AC009118.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC009119.1	119	16	330	39	207	8	137	17	6	13	47	77	61	432	9	10	32	20	9	35
AC009119.2	335	51	74	50	35	0	80	37	30	27	29	32	60	70	35	7	41	23	60	18
AC009120.1	104	143	168	124	107	39	91	31	100	89	52	106	89	168	47	60	88	70	93	81
AC009120.2	2252	2450	2466	2291	1544	517	1921	706	1579	1397	2009	2010	2784	2735	1155	1559	1781	879	1667	1278
AC009120.3	153	175	257	202	132	73	137	28	136	96	84	135	105	203	55	60	149	64	129	88
AC009120.4	54	31	16	9	6	5	9	0	12	3	3	11	5	14	2	7	12	5	26	5
AC009120.5	91	63	24	21	18	11	13	0	29	23	10	35	33	31	7	13	29	11	45	17
AC009120.6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC009121.1	1	0	0	1	0	2	0	0	2	0	0	1	0	1	0	0	0	0	0	0
AC009121.2	14	40	28	65	19	9	109	3	16	16	16	48	37	75	36	33	19	37	55	10
AC009121.3	5	4	2	21	3	0	7	0	11	0	9	5	9	8	3	3	4	1	11	0
AC009121.4	2	0	0	0	1	7	0	3	1	2	0	0	0	0	1	1	0	0	0	0
AC009123.1	25	2	3	3	1	0	4	1	3	13	5	9	13	0	4	2	2	0	0	1
AC009126.1	292	260	311	311	250	111	288	348	190	276	372	322	355	341	186	106	246	231	170	181
AC009127.1	22	1	8	8	11	17	20	1	36	29	3	31	18	3	23	18	5	9	13	12
AC009127.2	5	15	2	0	1	1	5	5	4	3	1	0	0	4	0	1	1	2	10	1
AC009132.1	1	1	1	1	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0
AC009133.1	5055	9204	10484	8378	4513	3535	9432	2295	4563	4585	9705	5346	9360	8141	3992	4216	8670	2840	8815	5997
AC009133.2	1920	2487	3458	1993	1441	1090	3638	2369	1331	1224	5490	1284	3358	2629	1418	1093	3037	1427	2969	1972
AC009133.3	85	50	152	153	116	31	138	72	99	95	1478	258	66	120	87	500	202	64	55	64
AC009133.4	181	382	480	383	284	46	758	301	242	203	615	445	624	433	252	320	356	415	492	277
AC009133.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC009133.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC009134.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC009135.1	337	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
AC009135.2	352	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1
AC009137.1	16	42	102	186	63	0	124	506	21	18	188	129	65	59	18	42	129	170	22	68
AC009137.2	7	3	7	26	6	0	22	4	5	2	20	58	25	12	8	9	24	8	1	13
AC009139.1	12	0	0	10	0	8	0	0	17	1	0	1	0	1	0	0	0	5	8	0
AC009139.2	100	80	139	185	76	16	107	35	104	81	216	324	124	269	51	153	180	48	77	68
AC009141.1	81	87	52	61	74	22	74	12	25	40	9	18	31	59	15	11	41	51	57	24
AC009142.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC009145.1	29	24	15	36	18	0	21	0	7	9	9	9	5	23	6	4	8	13	14	7
AC009145.2	27	16	12	16	14	0	19	1	5	12	2	2	9	11	5	7	6	6	12	10
AC009145.3	25	13	9	16	19	0	8	0	3	8	1	1	3	9	9	3	13	6	15	8
AC009145.4	84	32	54	23	44	0	32	10	9	41	4	5	10	39	15	7	26	23	46	26
AC009148.1	11	13	9	5	8	12	10	9	5	11	3	22	9	15	15	7	10	8	6	6
AC009152.1	432	49	172	76	138	1	45	7	108	8	24	25	85	120	69	17	37	48	192	18
AC009152.3	1130	160	301	243	456	62	114	68	245	22	67	88	296	329	203	57	92	129	538	57
AC009152.6	200	55	227	84	118	1	37	46	36	6	28	53	37	153	10	12	43	32	52	27
AC009153.1	82	13	48	26	19	10	36	5	46	3	18	14	41	15	28	18	10	58	52	6
AC009154.1	1	0	1	2	3	0	0	0	1	4	0	0	0	0	2	0	0	0	0	2
AC009154.2	0	0	0	0	1	2	0	0	0	1	0	0	0	0	0	0	0	0	0	1
AC009158.1	4	1	0	0	0	1	1	0	2	1	0	0	1	0	0	0	0	1	1	0
AC009159.1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0
AC009159.2	0	0	0	3	0	0	0	0	0	0	0	4	0	0	1	0	0	0	0	0
AC009159.3	3	0	0	8	0	0	1	0	0	1	1	12	3	0	0	1	1	0	0	1
AC009159.4	2	0	0	4	1	1	0	3	1	2	0	2	0	5	1	0	2	0	1	1
AC009161.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC009161.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC009163.1	6	0	1	0	0	12	1	0	13	0	1	0	1	1	0	3	2	1	3	4
AC009163.2	2	4	5	5	7	0	3	0	3	2	3	11	3	1	4	2	5	2	3	3
AC009163.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC009163.4	67	150	89	172	88	73	66	36	266	186	183	346	113	148	181	213	205	63	139	256
AC009163.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC009163.6	1	0	0	0	0	1	0	0	0	0	0	1	0	0	1	1	0	0	0	1
AC009163.7	31	27	23	45	21	18	17	17	50	106	45	59	28	55	31	20	14	17	41	19
AC009166.1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
AC009166.2	0	0	0	0	1	0	0	0	0	0	2	0	4	1	1	0	0	1	0	0
AC009166.3	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
AC009167.1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0
AC009169.1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC009171.1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0
AC009171.2	7	2	19	11	3	0	10	10	2	5	8	2	12	3	7	1	8	4	7	12
AC009185.1	308	47	21	59	80	76	116	1130	208	266	902	320	162	126	266	186	36	55	20	31
AC009220.1	0	2	2	5	4	1	2	0	3	1	3	0	2	5	3	2	4	1	2	4
AC009220.2	4	12	15	22	21	4	31	3	5	13	12	8	8	31	16	16	13	12	10	10
AC009220.3	1	2	6	9	5	0	7	0	2	4	1	6	12	8	4	2	1	5	3	1
AC009226.1	50	52	38	156	65	45	81	70	41	84	279	89	124	34	80	140	48	23	20	43
AC009227.1	0	2	2	1	1	2	2	3	1	2	0	2	0	0	0	1	0	2	0	0
AC009227.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC009228.1	364	269	372	255	266	297	414	1032	321	284	800	557	677	429	252	264	407	869	333	235
AC009228.2	15	28	19	17	16	61	14	19	13	21	4	11	12	28	27	14	12	23	20	26
AC009229.1	0	0	0	5	0	0	1	0	1	0	2	14	1	0	0	0	0	0	1	0
AC009229.2	1	1	9	8	0	0	11	22	0	1	3	9	3	1	2	2	1	4	2	0
AC009229.3	0	0	1	5	0	0	0	0	0	0	0	4	0	0	0	1	0	0	1	0
AC009229.4	0	3	2	18	1	8	2	12	0	0	4	31	6	1	0	2	4	2	0	0
AC009230.1	0	0	0	0	0	0	0	3	3	0	0	1	1	0	0	0	0	0	0	0
AC009233.1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC009234.1	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
AC009236.1	1	1	2	0	0	0	0	0	0	3	1	0	0	0	2	1	0	0	0	0
AC009236.2	0	0	1	1	0	0	1	0	0	3	0	0	0	1	0	0	0	0	1	1
AC009237.1	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC009237.10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC009237.11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC009237.12	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC009237.13	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC009237.14	12	0	52	19	0	1	2	1	0	3	27	15	7	1	3	0	0	0	1	0
AC009237.15	0	0	1	0	0	0	2	0	1	0	1	1	1	0	0	0	1	0	0	1
AC009237.16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC009237.17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC009237.2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC009237.3	18	1	73	37	0	1	7	7	2	10	41	28	6	1	3	7	3	1	1	0
AC009237.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC009237.5	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
AC009237.6	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0
AC009237.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC009237.8	0	0	2	1	0	0	0	0	0	2	1	0	0	0	0	0	0	0	1	0
AC009237.9	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC009238.1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC009238.2	5	1	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0
AC009238.3	114	85	42	59	39	8	40	29	34	30	35	48	88	69	40	15	48	25	80	39
